idItem,userId,idFeedback,item,pivote,value,completed,course,nameItem
90,757,9,90,75790,1,30,75,"¿Cómo es tu relación con tus amigos(as)?"
91,757,9,91,75791,1,30,75,"¿Tienes pareja?"
81,777,9,81,77781,1,31,75,"Selecciona la carrera a la cual perteneces."
82,777,9,82,77782,5,31,75,"Selecciona el semestre en el que te encuentras"
83,777,9,83,77783,2,31,75,"¿Con qué género te identificas más?"
84,777,9,84,77784,2,31,75,"¿En que modalidad te encuentras inscrito?"
85,777,9,85,77785,1,31,75,"¿Cuál es tu edad actual? "
86,777,9,86,77786,1,31,75,"¿Cuál es tu estado civil?"
87,777,9,87,77787,2,31,75,"¿Cuál es tu situación laboral actual?"
88,777,9,88,77788,2,31,75,"¿Cuál es el máximo grado de estudios del Padre?"
89,777,9,89,77789,2,31,75,"¿Cuál es el máximo estudio de la madre?"
90,777,9,90,77790,2,31,75,"¿Cómo es tu relación con tus amigos(as)?"
91,777,9,91,77791,2,31,75,"¿Tienes pareja?"
81,770,9,81,77081,1,32,75,"Selecciona la carrera a la cual perteneces."
82,770,9,82,77082,5,32,75,"Selecciona el semestre en el que te encuentras"
83,770,9,83,77083,1,32,75,"¿Con qué género te identificas más?"
84,770,9,84,77084,2,32,75,"¿En que modalidad te encuentras inscrito?"
85,770,9,85,77085,1,32,75,"¿Cuál es tu edad actual? "
86,770,9,86,77086,2,32,75,"¿Cuál es tu estado civil?"
87,770,9,87,77087,1,32,75,"¿Cuál es tu situación laboral actual?"
88,770,9,88,77088,2,32,75,"¿Cuál es el máximo grado de estudios del Padre?"
89,770,9,89,77089,1,32,75,"¿Cuál es el máximo estudio de la madre?"
90,770,9,90,77090,1,32,75,"¿Cómo es tu relación con tus amigos(as)?"
91,770,9,91,77091,1,32,75,"¿Tienes pareja?"
81,781,9,81,78181,1,33,75,"Selecciona la carrera a la cual perteneces."
82,781,9,82,78182,5,33,75,"Selecciona el semestre en el que te encuentras"
83,781,9,83,78183,1,33,75,"¿Con qué género te identificas más?"
84,781,9,84,78184,1,33,75,"¿En que modalidad te encuentras inscrito?"
85,781,9,85,78185,1,33,75,"¿Cuál es tu edad actual? "
86,781,9,86,78186,1,33,75,"¿Cuál es tu estado civil?"
87,781,9,87,78187,5,33,75,"¿Cuál es tu situación laboral actual?"
88,781,9,88,78188,7,33,75,"¿Cuál es el máximo grado de estudios del Padre?"
89,781,9,89,78189,1,33,75,"¿Cuál es el máximo estudio de la madre?"
90,781,9,90,78190,1,33,75,"¿Cómo es tu relación con tus amigos(as)?"
91,781,9,91,78191,2,33,75,"¿Tienes pareja?"
48,1054,7,48,105448,1,34,118,"Selecciona la carrera a la cual perteneces."
49,1054,7,49,105449,3,34,118,"Selecciona el semestre en el que te encuentras"
50,1054,7,50,105450,2,34,118,"¿Con qué género te identificas más?"
51,1054,7,51,105451,2,34,118,"¿En que modalidad te encuentras inscrito?"
52,1054,7,52,105452,1,34,118,"¿Cuál es tu edad actual? "
53,1054,7,53,105453,1,34,118,"¿Cuál es tu estado civil?"
54,1054,7,54,105454,1,34,118,"¿Cuál es tu situación laboral actual?"
55,1054,7,55,105455,7,34,118,"¿Cuál es el máximo grado de estudios del Padre?"
56,1054,7,56,105456,7,34,118,"¿Cuál es el máximo estudio de la madre?"
